ID,Description,Class
11,大概一個月前出了車禍阿姨騎車載我時被對向要轉彎的車撞倒我是直到自己從地上爬起來後才發現出車禍了有撞到頭所以完全失去幾秒鐘的記憶只知道上一秒機車才要發動，下一秒我就坐在柏油路上了那時候第一個反應是拿手機叫救護車119才剛用顫抖的手指輸進去旁邊開店的老闆就衝過來說我幫你們報警叫救護車了，別動接著我才去看倒地的阿姨阿姨睜著眼睛倒在地上，身體有點抖，但是我叫她卻完全沒反應我碰了碰她的肩還是沒反應當下腦袋一片空白很怕阿姨受傷很嚴重，要是過世怎麼辦直到這時候我才開始慌，問那位老闆我該怎麼辦接下來就是照著老闆說的，先不要動阿姨等救護車來過了幾分鐘，阿姨終於清醒，但完全不知道自己發生車禍就是說很痛，然後掙扎著想爬起來，但被我壓住，亂動會傷口惡化之後等到救護車跟警車來，做了一些應急處置，我們就被送上救護車那時候問阿姨什麼事她都反應很怪，想不起來手機號碼、身分證號碼，事發經過當然也不記得還好過了一兩個小時後就恢復正常了最後是腳骨折、肩胛骨骨折跟一些皮肉傷然後我是額頭撕裂傷、韌帶斷一半（差一點就全斷了）、很多皮肉傷到現在我跟阿姨還是行動很不便韌帶在抽痛的時候我都會咒罵肇事者還好他沒逃沒推託，說要負責到底但我的臉縫了三針疤在那很明顯很醜嗚嗚尤其前幾個月開始我在酒吧打工還是有點看臉跟說話吃飯的畢竟聊得嗨或客人看妳可愛請喝酒可以抽成想到會影響我的薪水我就覺得很幹結果反而看見我的縫痕，客人們都跟我聊車禍的話題聊很嗨...啊，還有車禍後讓我發現我自己很討人厭在阿姨張著眼失去意識的時候我擔心到心臟快停止但確定阿姨活著後我第一個想法是為什麼我沒被撞X為什麼活著而且這個念頭重複環繞在我腦海一直到現在消不掉,1
12,很久沒OD了一OD就是生不如死整個下不了床又好像要自殘噢但是拿刀子割自己，真的會比較快樂嗎？真的會嗎？一想到要在身上劃幾道沒用又會痛的傷口就覺得自己好像傻瓜蛋而且手邊的刀子也很髒，感覺就會得破傷風該不該先用優碘跟酒精消毒呢煩惱這些的自己更像傻瓜蛋了可是真的好需要快樂然後把憂鬱跟焦慮狠狠踩在腳底下到底撐不撐得到下次回診呢？可以嗎？可以嗎？,1
13,看到超多這種留言「會講出來的都不是憂鬱症」「真正的憂鬱症是不會動不動說想死的」「什麼憂鬱症都是在裝病」諸如此類每次看到這種留言都很想衝進去打他們一巴掌三個月來把酗酒的狀況改善了想起那段酗酒的日子可以抱著三四罐紅酒狂喝不停肝指數飆到500多真的很荒唐但是還是會莫名奇妙的哭莫名奇妙的心悸莫名奇妙的負面莫名奇妙的想死只要活著就有好事發生常常聽到別人這樣說我也會這樣安慰別人我知道這個世界還是很多好人也有很多美好的事情我也知道總會有一個人毫無保留的愛我可是真的不知道能不能活到那個時候剛剛又忍不住大哭了被家人看到一直反覆問我為什麼哭我就是不知道為什麼啊如果我知道為什麼我就不會這樣了不是嗎為什麼要一直逼憂鬱的人走出來？--,1
14,反正惡人一直覺得自己沒錯我也不是很想活了你們的名字我都會列上去的加油囉找個黃道吉日又不是沒自殺過你知道我哥怎麼死成功的嗎?燒 碳 。--,1
15,［靈魂值多少錢］你不知道一生之重也不知道一生之輕你聽過浮士德你也想交易靈魂唱詠嘆調你上網查不到你要的東西你想知道靈魂值多少快樂你用刀子劃開血管也召喚不出魔鬼的悲哀你只能把自己鎖在房間吊起自己至斷氣—————最近是做完TMS之後第一次想死不為他人著想看來又要存下一個治療的費用了—————我的ig康復日誌po_ya_chan--,1
16,隨便翻翻到約一年多前的日記那時候還沒去看精神科到現在想法還是差不多然後我目前活到23歲又3個月了！到底能還能撐多久呢--我慶幸自己有病識感那陣子邊哭邊掙扎要不要拿著皮帶上吊已經無法控制自己 後來看了醫生 吃藥撐到現在我自從得病後字越來越醜餒......,1
17,被封鎖了自己只能自己安慰自己想說發文會好一點結果被噓到爆炸我真的不懂女生在想甚麼交朋友好累好麻煩乾脆就這樣一個人死掉算了--,1
18,有人也受到疫情影響嗎？心情低落覺得大爆發很可怕似乎活不下去的感覺鬱鬱寡歡開始吃抗鬱劑本身體質不適合吃抗鬱劑但醫生覺得太低落了只能先吃再說好可怕今天+23--,1
19,我媽在我小學三年級的時候確診乳癌她為了我們家三個小孩很堅強的撐下去我常常看著她化療完後忍痛在床上哀號努力活著 不讓我們三姐弟10歲就沒有媽媽可是當時的我什麼都做不了只會愣愣地在我媽旁邊不知道怎麼才能讓她舒服一些我也不懂到底有多難受10幾年後現在的我想起來我當時好不孝順也好謝謝媽媽為了我們活了下來但是我如果大家看了我之前關於家庭的文章就知道她給我的傷害有多大 常常情緒勒索我還在我19歲時曾經情緒失控拿剪刀要刺死我現在才知道這陰影對我來說有多深因為她是我全世界最愛的媽媽我不忍心我自殺後她也會很痛苦這就是為什麼我都想好要怎麼死了她讓我想死 也讓我死不了--,1
20,"我從小就有憂鬱症和強迫症，吃藥2,30年了，在十年前我發生了一件嚴重的事，就是我被惡意欺騙了感情，被前女友狠心的拋棄了，之後我就恐慌症大爆發，整個恐慌念頭一直直衝腦袋，好幾次我都痛苦地想自殺，發作了很多年，我也很辛苦地撐了好多年，好在我到現在還是活著，我想我還能夠活著也算是對某人的一個最大的報復了吧我是一直靠安眠藥在撐，度過了恐慌的那幾年，可能也因為安眠藥吃太多，現在安眠藥對我也沒效了，吃了也是睡不著，我已經很久不能睡覺了。常常都很想哭，我爸爸也在三年前過世離我而去，丟下一個孤零零的我，有時真的覺得好孤單，我本身又內向，身邊一個可以說話的朋友都沒有，我好渴望有個朋友可以陪我說話對未來好茫然----                                03/16 22:31",1
21,一沒吃藥就失眠的很嚴重，希望今天好睡這樣安靜的夜裡，心裡卻喧鬧個不停好想消失--,1
22,壓抑許久的情緒難過。悲傷痛苦。孤獨憤怒。憂鬱焦慮。恐慌壓力沒有一個感受是自己有辦法處理的無法面對他，接受他身體心理都是亂成一團的每每一個工作上事件的發生我都要先壓抑住不讓暴怒的自己跑出來要自己平靜的說出來並處理但回到家我真的無法媽媽一個舉動就捏爆了我我就說妳是要逼死我嗎把氣全都出在她身上到底想怎麼樣啦自己好想一頭去撞牆這樣心裡會舒服嗎這就是心理生病了的自己的大腦為什麼不體諒我因為妳自己也病了到底我們要如何活著變好為什麼假日要放假了就這樣上班又無時無刻壓抑下班都無法卸下心防為什麼我的世界變成這樣不友善--,1
23,好想好想死活著一點都不快樂好想跳樓可是我怕高想上吊又不知道如何佈置之前燒炭又失敗不想害別人房子變凶宅人生好難--,1
24,嗨我突然醒了我意識到活著有多辛苦我意識到我的存在多麼不重要至少在家人的眼裡我是那麼的爛和廢等待時間一到我還是會離開的吧只是我不想失敗的成為家中的負擔所以我必須有周全的準備來結束這一切本來不想跟你說這些悲傷的話但我想除了主治醫師之外沒人可說了所以才會跟你說這些 對不起打擾了你在你躲起來的時間裏我的藥又增加幾顆了呢粉粉藍藍白白的挺可愛吧（雖然我依然會半夜驚醒過來）我呀正在調配秘方看要怎麼分配比例才能夠順利的飛上天（或者下地獄）你要好好的喔我會守著你的給你看看我可愛的藥--,1
25,［酒精］今天打工的時候摔破了一瓶酒精，雖然是塑膠瓶但還是破了，我還記得住院的時候特別迷戀酒精的味道，我看著酒精瓶往下倒，倒，倒，然後迸裂，到處都是酒精香。我爸爸是個迷戀，或是說依靠，我不清楚是哪種，酒精的人，小時候總是看著爸爸回家盯著電視一杯一杯的喝，一天半瓶紅酒，以前爸爸喝酒用的是水晶杯，我很愛戀水晶杯的切割造成光影的折射變化，我一直想要有一隻「我的」寵物，小時候看卡通以為倉鼠就是哈姆太郎，就像美妝蛋都叫beauty blender，輕珠寶就是agete，類推適用，但媽媽並不喜歡倉鼠，所以她讓我養了一隻鬥魚，靛藍色的鬥魚在爸爸的水晶杯裡面，我小時候到現在的個性就是過度關心寵物，也許是遺傳自母親，我大概在家每隔10分鐘就要看一次我的魚，後來我媽把水晶杯放在音響上，當時太矮勾不到音響的頂端，小小的手還不太會控制肌肉，媽媽第一次把水晶杯遞給我時我心中一陣空，就摔破了。那隻靛藍色的鬥魚死在黑咖色的花崗岩上，而爸爸義務性的罵了我，這是我記憶以來第一次被爸爸媽媽罵破碎、墜地、被罵這三者之間在我長大之後有著不曉得多少的連結，我還記得我第一隻手機是怎麼壞的，我也還記得我常常知道我握不住東西，儘管到這個年紀也是，讓東西墜地，迸裂我有天喝了酒配300顆普拿疼，那時時不時就想自殺時，噢，喝酒配藥不算自殺，那太難死了，我對自己還活著太失望了，於是我坐在我家的欄杆上，腳在女兒牆上晃，打給男朋友說我要死了，我要跳樓了，那時我想到我常常握不緊的雙手，竟然很丟臉的握緊了欄杆，男友報警後攔下我，把我從欄杆上扯下來，我準備爬回去時他大吼我的名字我只淡淡說了一句「別吼我」這也許是一個當時即將死亡的人面臨的戲劇性諷刺，如果我喝掛了也許就掉下去了，掉下去之後我會像隻沒有水晶杯的鬥魚，倒在釀著酒的紅色血泊中，在也沒有水晶杯能關住我。我的ig康復日誌--,1
26,我曾經以為我好了曾經安慰自己沒事的就在一次又一次的安慰下我發現我依然沒好或許我沒有憂鬱症我只是不想活了而已但其實我並不特別想死純粹是 好多事情壓的我喘不過氣活著真的好苦但一想到要是死了身邊的人會有多難過他們這麼愛我 我怎麼能讓他們為了我傷心真的好累好累哦。只想躺著就不要醒來了,1
27,我發病了為什麼做好自己的工作還要被威脅太認真的活著也不行早早死一死好了--,1
28,最近不知道是不是壓力太大休息不夠有點復發的跡象每天都很累回家很容易對家人發脾氣我也很討厭這樣的自己但又無法忍受家人的生活習慣又急迫需要家人在生活上的幫助我卻又難以忍受幫助帶來其他的副作用這些衝突日漸加劇最近總有希望自己在路上被車撞死不知道為什麼人生總有這麼多的磨難我到底是生病了還是天生草莓族經不起考驗明明好像也沒發生什麼不好的事情但我就是撐的很累尤其走過重鬱帶來的人生空白期好不容易花了幾年辛苦爬起來重新走到現在這個階段一旦再次跌倒我大概再也無法重新站起來了但我真的覺得我撐不住隨時要鬆手了好想閉上眼睛再也沒有任何感覺一切就到此結束希望一覺醒來會是晴天可以嗎？--,1
29,主啊 我現在好慌我不知道為什麼會這樣中醫西醫看了 藥也吃了 都沒用沒有工作  沒有收入這種日子不知道還要持續多久我在好深好深的谷底腦袋動不起來了一直打噴嚏  好像感冒了好難受主耶穌啊  求你看顧我主啊 對不起  我一直無法專心唸有機化學  一直卡在E1E2反應我的腦袋像機器當機一樣動不了主耶穌啊  我三十五歲了  一無所有  沒有錢   沒有一技之長吃了六顆鼻炎膠囊  現在身體軟啪啪的去年年末的衝勁又消失無蹤了好想趕快離開這個世界   我討厭這裡主耶穌啊  我好難受我不知道要怎樣活出榮耀你的生命我在家裡像一坨垃圾   我弟弟看不起我  我媽媽也只是可憐我我的病  他們半信半疑  他們不知道這個病會讓人多痛苦不過他們也很辛苦  一個水電工   一個清潔工  做得工作也很辛苦我必須早一點離開才可以要把家裡的資源留給弟弟  和日漸年老的媽媽我的人生已經寫到省略號的地方了我不知道我還能幹麻不能再這樣下去了我好羨慕那些成功離開這個世界的人主啊  我知道這樣想是不對的  這些話我不敢跟任何人講好難受主耶穌啊  我好難受   我看不到未來我好像在一攤泥漿裡掙脫不出來又發作了好難受沒有力氣力氣像都被抽走一樣--,1
30,今天下午喝了排毒湯，副作用是會太興奮，晚上有可能會睡不著，所以        今晚應該會是個失眠的夜晚，但也不一定，還是希望可以好好睡一晚。        忽然覺得我之前的日子，因為失去動力而沒辦法專心，上網搜尋利他能        哪裡可以買得到？但又看了它的副作用會造成失眠，就在想還是別吃比        較好，免得又發生什麼意外。        喝了排毒湯以後，感覺腦力有比較好一點，可以專心的看書，可以專心        的做想做的事，我覺得如果以前就知道排毒湯這種東西，或許我就不會        浪費那麼多時間了，但至少現在知道我的大腦或許是需要排毒，才有辦        法專心，以後無法專心時應該都會靠排毒湯吧！畢竟我生了病，可能大        腦的能力也在漸漸退化，只能靠藥物與一些東西來治療，畢竟今天吃完        以後效果立現，可見我並不是因為心理因素而無法專心，而是因為生理        因素，可能是我缺乏某些物質，所以才沒辦法一直專心的做任何事。        因為排毒湯有副作用，明天開始試多久喝一次比較恰當，希望透過規律        的飲用，可以讓生活步上正軌。        但想到今晚可能失眠，還是會感到害怕，不過很多事就是這樣，不去嘗        試，你永遠不知道正確的解答是什麼？--我們都會期望現實世界中，有個人可以拯救我們，幫助我們面對困難與解決問題，但現實生活中並沒有人會來拯救我們。我們能夠做的，就只有每天不斷的犯錯與尋找答案。--,1
31,今天一個人吃大餐，遊戲刷了兩三千希望不會對我日後的穩定計劃造成影響。35歲去死從一開始就錯了，當初我要的房間不是這間我要的是我哥哥的結婚房 然後把他們。根除delete親緣。當做沒這個人永久都不能讓他們回台北結果呢。拆的是我姊的房間而且我爸媽還幫我哥哥房間也弄一把鑰匙做成。跟我一樣：公平的局面我要的是不公平他們弄成了公平我被不公平了25年如今平起平坐 竟然是要公平他一句話就可以叫我媽 把我的書桌送進廢棄廠然後還可以把叔叔家的垃圾書桌塞進我家塞進我房間我不要竟然是我的錯！又沒問過我要不要其實呢。他門就是想把我逼出去人生是很奇妙的哥哥半夜洗澡不會被罵我半夜洗澡。半夜直接在門口罵我我是個很奇怪的人也可以是一個超現實怪咖也可以說我的框框條條其實都是我哥哥建立的愛情觀好了因為我哥嗆我：憑什麼追她我實在是很恨這個哥哥所以我的愛情就變成我要：憑我什麼都沒有 因為搶我房間，逼我住外面還要教訓我有也要丟掉不要學會任何東西，自我毀滅也不用存錢，錢是擁有的一種就算因此也沒人喜歡也無所謂。我覺得我的人生要為了讓別人喜歡而擁有什麼實在太沒尊嚴了。現在也是。三不五時會被折磨他們給我一台爛電風扇然后不讓我丟掉然后我去拿哥哥房間的他們就跟我強調那是哥哥他們的然後冷氣。他門給他裝新的然后我的塞一個垃圾冷氣。不能定時，不能調溫 噪音巨大，一間幾乎沒人在用的客房 經常有人保護簡直就是莫名其妙，也不用說搬出去搬出去就如那個神經病的意了反正我也活不久死了也算是搬出去了隨便啦--,1
32,昨晚發作，情緒非常不好吃了安邦跟安眠藥還是無法入睡腦子不停出現讓我焦慮的過往早上六點才睡著，鬧鐘9點半響起該準備搭車回學校但我情緒跟精神真的很糟，完全沒力氣我就跟我媽說我不想去學校她就生氣的來我房間唸我罵我說怎麼星期一就不去上課 之類的她唸完準備離開我房間時我無力的跟她說媽媽 我想抱抱但她頭也不回就走掉了結果我還是默默起床刷牙洗臉準備好東西要回去學校上課我出門前我媽就抱我說這才是我的乖孩子 看來你還是在乎我情緒的我什麼話也沒說就出門了搭車回學校的路上眼眶一直泛淚我如果不在乎妳我早就自殺了明明偷翻我東西後知道我有在吃精神科的藥為什麼.....為什麼我需要一個擁抱的時候妳都不肯在妳心裡 不能有自己情緒的乖孩子才值得被抱嗎我愛妳 媽 但我愛得好難過我最愛的妳為什麼不肯好好看看我的心？--,1
33,（抱怨文）アダルトチルドレンadult children和制漢語定義好多好多我說的是大概就是成年了心裡還是幼稚上個月回建中辦英文成績單準備申請羅馬尼亞的醫學系看到教務主任很眼熟但實在不敢相信因為她才短短八年就從特教組長升到教務主任年齡搞不好不到40 國字臉 米白色膚色 無皺紋 有點魅力她一直看我我也一直看她我趁她離開位子時去確認名牌才跟她搭上話她說 我遠遠的看上去就像是一團陰影就像是銀魂裡面長谷川（這是我自己想的）表情跟高中時候我行我素毫不在意的樂天完全不同所以她也不敢確認是我她是特教組長 當初我是人社班受她照顧很大說穿了我到後來上了ptt才發現原來我是「該死的」那一群鄉民說我數理不如同校醫科電機 我服鄉民說我薪水不如科大理組 我服鄉民叫我去死  上戰場第一個要送我們文組去死我不服我要死就是自己去死然後台大法律搞爛台灣 我也不服我中間三年在長榮跑過船我很清楚海大理組水準在哪但我也不會特別攻擊他們我我不知道我得罪鄉民哪裡拼命叫我去戰場上當炮灰叫我去死說甚麼日本當初二戰都是送文組當炮灰那太宰治怎麼沒去當炮灰 人家文學報國我雖然免役 看了還是胸糞到不行我現在名義上的女朋友（物理系）我也知道她很想把我甩掉她是同情心過剩而已我都很清楚她很愛講一句話「她數學才六級分 怎麼配得上我」我還想說至少她六級分 網路上沒人會戰她何況她又是美人我台大法律韓國瑜帶頭天天臭幹我們說經濟不好都是我們廢物她講什麼學測都是藉口而已 但同情心過剩看我可憐啊！她能做到讓我親臉 抱 摟腰 摟肩 牽手就是極限了 然後偶爾逛飲料店 店員說「你怎麼讓你女朋友請你~」時 她也不會反駁但衣服底下身體不給碰整件事情我跟教務主任（女）講了她說我28歲了該拼事業卻一直停留在18歲的戀愛渴望中典型的adult children我說了 你說我數理輸同校電機醫學 我認薪水輸私立科大理組 我也認 我跑過船我當然知道管輪薪水比較高我終究要自殺的我不服 結局一樣但自殺的理由我會一輩子冤枉什麼叫上戰場要我優先去死我看到這話我就決定我要免役了我只是很哀傷 為什麼我拼了全力卻勉強只能交到一個假面女友這才是我想死的原因我對賺錢 救人毫無興趣我要那個頭銜而已錢我家裡會額外給我零用錢什麼有車 有房 都是屁那個物理女還沒有真正愛上我只是因為我還沒有真正開始執業而已--,1
34,沒人可以說話了只好在這裡發洩情緒躁鬱症真的很煩人類是一種會漸漸淡忘過去痛苦的生物就算曾經非常辛苦、非常痛苦過了之後，就會漸漸忘記那種痛的感覺這聽起來像是好事但當需要用到同理心這個東西的時候就變成壞事了曾經是病友的妳走過了那一段痛苦之後為什麼就不能同理我的混亂跟無助了也許是我積怨吧曾經在妳痛苦的時候我用盡一切方法跟心思同理妳，傾聽妳，拍拍妳，轉移妳注意力或需要的時候給點想法怎麼現在換成我，妳就不懂了我確實這陣子瘋狂在抱怨工作也許給妳造成不少負擔吧一遍又一遍重看我們吵架的內容說真的理性上我知道妳是關心我的感性上我真的沒辦法接受妳的這種說詞曾經妳說過不要一天到晚給妳建議跟想法那妳怎麼就不記得妳不要的理由了每次都問我為什麼不這麼做為什麼不改方法為什麼不直接離職妳想要什麼需要什麼幫助妳這樣一直抱怨又不能解決問題妳要去重新學習妳不可以聽到不想聽的就不聽一遍又一遍我想起煙火裡的塵埃就讓我聽著天大的道理，不願意明白只有我，就是我，好奇怪後來的這幾天我想了很久我不知道怎麼樣才能幫助我自己好起來（說真的妳也不知道吧）但我很確定我需要有人同理我至少短期間內，我需要被同理我的憤怒，我的混亂，我的害怕，我的失控我的起起伏伏，我的各方壓力我暴買，我暴食，我後悔，甚至我胃痛我的困惑，我的迷茫，我想去死的念頭也許這些都太沈重了太沈重了。妳說妳知道過程很累但我覺得妳已經不懂有多累了妳忘記了。,1
35,昨天我妹離家出走我媽氣到想殺人在公司要面對不想面對的一切回家還要安撫我媽的情緒好累喔有點羨慕我妹的勇氣好希望時間能暫停一下讓我喘口氣被車撞或突然昏倒都好--,1
36,好想死掉可是我根本不想死喜歡活著喜歡騎車晃來晃去喜歡吃東西喝飲料喜歡看著人類的笑容可是腦袋又覺得好想死不喜歡不能控制自己腦袋的感覺也知道實際上很多人愛我在乎我我也很幸福但是思想上會覺得自己好孤單沒有人在乎我大家都覺得我很煩我討厭我的想法明明不是事實至少我很幸運還保有現實的理智不想讓身邊的人擔心也不想造成別人的負擔借抒發一下等等繼續帶著笑容上班撐過去就好了我會照顧好自己的我不會讓自己死掉的!!!好想死掉可是根本不想死掉真的好討厭這種感覺我們一起撐下去 會好的一起抱一個我需要擁抱><,1
37,還是忍不住用力的大叫了一聲只是是沒有聲音的那種覺得腦充血不想要哭會哭到停不下來可是臉好扭曲好多東西噎在喉頭出不來胸口好痛好痛嘴唇只會抖好討厭自己這樣隔天頭會很痛控制不了可是不想給家人擔心了好想消失不見好想把剩下的壽命都分給家人然後自己消失--,1
